Series Name,"Country Name","2014"
"Life expectancy at birth, total (years)","Afghanistan","60.3744634146342"
"Life expectancy at birth, total (years)","Albania","77.8304634146342"
"Life expectancy at birth, total (years)","Algeria","74.8080975609756"
"Life expectancy at birth, total (years)","American Samoa",".."
"Life expectancy at birth, total (years)","Andorra",".."
"Life expectancy at birth, total (years)","Angola","52.2668780487805"
"Life expectancy at birth, total (years)","Antigua and Barbuda","75.9376341463415"
"Life expectancy at birth, total (years)","Argentina","76.1586097560976"
"Life expectancy at birth, total (years)","Armenia","74.6757073170732"
"Life expectancy at birth, total (years)","Aruba","75.4510975609756"
"Life expectancy at birth, total (years)","Australia","82.3"
"Life expectancy at birth, total (years)","Austria","81.490243902439"
"Life expectancy at birth, total (years)","Azerbaijan","70.7632195121951"
"Life expectancy at birth, total (years)","Bahamas, The","75.2336585365854"
"Life expectancy at birth, total (years)","Bahrain","76.6832682926829"
"Life expectancy at birth, total (years)","Bangladesh","71.6259024390244"
"Life expectancy at birth, total (years)","Barbados","75.4964146341463"
"Life expectancy at birth, total (years)","Belarus","72.9707317073171"
"Life expectancy at birth, total (years)","Belgium","81.2878048780488"
"Life expectancy at birth, total (years)","Belize","70.0774390243902"
"Life expectancy at birth, total (years)","Benin","59.5105853658537"
"Life expectancy at birth, total (years)","Bermuda","80.7973170731707"
"Life expectancy at birth, total (years)","Bhutan","69.471243902439"
"Life expectancy at birth, total (years)","Bolivia","68.344"
"Life expectancy at birth, total (years)","Bosnia and Herzegovina","76.433243902439"
"Life expectancy at birth, total (years)","Botswana","64.429243902439"
"Life expectancy at birth, total (years)","Brazil","74.4018780487805"
"Life expectancy at birth, total (years)","British Virgin Islands",".."
"Life expectancy at birth, total (years)","Brunei Darussalam","78.8095853658537"
"Life expectancy at birth, total (years)","Bulgaria","74.4658536585366"
"Life expectancy at birth, total (years)","Burkina Faso","58.5884634146341"
"Life expectancy at birth, total (years)","Burundi","56.6920243902439"
"Life expectancy at birth, total (years)","Cabo Verde","73.147"
"Life expectancy at birth, total (years)","Cambodia","68.2122926829268"
"Life expectancy at birth, total (years)","Cameroon","55.492756097561"
"Life expectancy at birth, total (years)","Canada","81.9566097560976"
"Life expectancy at birth, total (years)","Cayman Islands",".."
"Life expectancy at birth, total (years)","Central African Republic","50.6577804878049"
"Life expectancy at birth, total (years)","Chad","51.5558048780488"
"Life expectancy at birth, total (years)","Channel Islands","80.6064878048781"
"Life expectancy at birth, total (years)","Chile","81.4961951219512"
"Life expectancy at birth, total (years)","China","75.7822682926829"
"Life expectancy at birth, total (years)","Colombia","73.9931463414634"
"Life expectancy at birth, total (years)","Comoros","63.2568536585366"
"Life expectancy at birth, total (years)","Congo, Dem. Rep.","58.6591951219512"
"Life expectancy at birth, total (years)","Congo, Rep.","62.3111463414634"
"Life expectancy at birth, total (years)","Costa Rica","79.4027073170732"
"Life expectancy at birth, total (years)","Cote d'Ivoire","51.5595853658537"
"Life expectancy at birth, total (years)","Croatia","77.4780487804878"
"Life expectancy at birth, total (years)","Cuba","79.3908292682927"
"Life expectancy at birth, total (years)","Curacao","77.8243902439025"
"Life expectancy at birth, total (years)","Cyprus","80.1315609756098"
"Life expectancy at birth, total (years)","Czech Republic","78.8243902439024"
"Life expectancy at birth, total (years)","Denmark","80.7"
"Life expectancy at birth, total (years)","Djibouti","62.015512195122"
"Life expectancy at birth, total (years)","Dominica",".."
"Life expectancy at birth, total (years)","Dominican Republic","73.5000243902439"
"Life expectancy at birth, total (years)","Ecuador","75.872487804878"
"Life expectancy at birth, total (years)","Egypt, Arab Rep.","71.1217073170732"
"Life expectancy at birth, total (years)","El Salvador","72.7545609756098"
"Life expectancy at birth, total (years)","Equatorial Guinea","57.6470487804878"
"Life expectancy at birth, total (years)","Eritrea","63.6630243902439"
